Designator,Footprint,Quantity,Value,LCSC Part #
"_9, _8, _7, _6, _5, _4, _3, _2, ",,9,,
"C1, C17, C2, C3, C4, C5, C6, C7, C8, C9",01005,10,100nF,
"C10, C11, C12, C13",01005,4,1uF,
C14,01005,1,100pF,
"C15, C16",01005,2,15pF,
C2_2,0201,1,100nF,
D1,01005,1,D_Schottky,
D3,Nexperia_CFP3_SOD-123W,1,D_Schottky,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"J2, J3",castellated_tht_1x20,2,Conn_01x20_Pin,
J4,castellated_tht_1x3,1,Conn_01x03_Pin,
LED1,0402,1,GRN LED,
"R1, R2",0201,2,27R4,
"R10, R6",0201,2,1K,
R11,0201,1,470R,
"R3, R4, R5, R7",0201,4,10k,
"R8, R9",0201,2,5K1,
SW_1,SW_SPST_PTS810,1,BOOTSEL,
SW_2,SW_SPST_PTS810,1,RESET,
U2,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ TR,
U3,SOT-23-5_AP2202_DIO,1,AP2202K-3.3TRG1,
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,ABM8-272-T3,
