Designator,Mid X,Mid Y,Rotation,Layer
_9,147.475,-107.4,0.0,top
_8,146.175,-107.4,0.0,top
_7,147.475,-108.7,0.0,top
_6,148.775,-107.4,0.0,top
_5,146.175,-108.7,0.0,top
_4,148.775,-108.7,0.0,top
_3,147.475,-106.1,0.0,top
_2,146.175,-106.1,0.0,top
,148.775,-106.1,0.0,top
C1,152.325,-101.89,0.0,top
C10,150.575,-101.25,90.0,top
C11,152.325,-101.2,0.0,top
C12,151.775,-87.1,180.0,top
C13,151.725,-93.7,270.0,top
C14,150.875,-93.7,270.0,top
C15,147.175,-115.86,180.0,top
C16,145.525,-115.86,0.0,top
C17,152.375,-108.5,0.0,top
C2_2,152.425,-102.75,0.0,top
C2,146.675,-94.6,90.0,top
C3,142.525,-103.55,90.0,top
C4,151.275,-101.25,90.0,top
C5,147.725,-113.55,270.0,top
C6,148.575,-113.55,270.0,top
C7,146.775,-101.1,90.0,top
C8,147.975,-101.1,90.0,top
C9,142.375,-108.45,180.0,top
D1,142.675,-95.7,270.0,top
D3,154.075,-79.6,90.0,top
FID1,141.05,-78.0,0.0,top
FID2,152.7,-125.75,0.0,top
J1,147.475,-80.14,180.0,top
J2,137.7525,-102.3,0.0,bottom
J3,157.0875,-102.3,0.0,top
J4,147.477289,-127.0125,270.0,top
LED1,143.095,-86.1,180.0,top
R1,148.775,-101.25,270.0,top
R10,146.875,-113.45,90.0,top
R11,142.695,-87.1,180.0,top
R2,149.675,-101.25,270.0,top
R3,143.875,-95.9,180.0,top
R4,143.875,-94.9,180.0,top
R5,143.875,-93.9,0.0,top
R6,142.675,-94.2,90.0,top
R7,150.375,-115.6,0.0,top
R8,145.975,-86.3,270.0,top
R9,149.075,-86.3,270.0,top
SW_1,143.85,-90.525,90.0,top
SW_2,147.875,-122.1,180.0,top
U2,144.575,-97.7,0.0,top
U3,151.075,-90.3,90.0,top
U4,147.475,-107.4375,90.0,top
Y1,145.875,-118.21,0.0,top
